America East,Vermont
America East,Stony Brook
America East,UMBC
America East,Hartford
America East,Albany
America East,Massachusetts-Lowell
America East,Binghamton
America East,New Hampshire
America East,Maine
American Athletic Conference,Houston
American Athletic Conference,Cincinnati
American Athletic Conference,UCF
American Athletic Conference,Temple
American Athletic Conference,Memphis
American Athletic Conference,Wichita State
American Athletic Conference,South Florida
American Athletic Conference,Tulsa
American Athletic Conference,Connecticut
American Athletic Conference,SMU
American Athletic Conference,East Carolina
American Athletic Conference,Tulane
Atlantic 10,Virginia Commonwealth
Atlantic 10,Davidson
Atlantic 10,Dayton
Atlantic 10,St Bonaventure
Atlantic 10,George Mason
Atlantic 10,Saint Louis
Atlantic 10,Duquesne
Atlantic 10,Rhode Island
Atlantic 10,La Salle
Atlantic 10,Richmond
Atlantic 10,Saint Joseph's (PA)
Atlantic 10,Massachusetts
Atlantic 10,George Washington
Atlantic 10,Fordham
Atlantic Coast,North Carolina
Atlantic Coast,Virginia
Atlantic Coast,Duke
Atlantic Coast,Florida State
Atlantic Coast,Virginia Tech
Atlantic Coast,Louisville
Atlantic Coast,Syracuse
Atlantic Coast,Clemson
Atlantic Coast,North Carolina State
Atlantic Coast,Georgia Tech
Atlantic Coast,Boston College
Atlantic Coast,Miami (FL)
Atlantic Coast,Wake Forest
Atlantic Coast,Notre Dame
Atlantic Coast,Pittsburgh
Atlantic Sun,Liberty
Atlantic Sun,Lipscomb
Atlantic Sun,Florida Gulf Coast
Atlantic Sun,North Florida
Atlantic Sun,NJIT
Atlantic Sun,North Alabama
Atlantic Sun,Jacksonville
Atlantic Sun,Stetson
Atlantic Sun,Kennesaw State
Big 12,Texas Tech
Big 12,Kansas State
Big 12,Kansas
Big 12,Baylor
Big 12,Iowa State
Big 12,Texas
Big 12,Oklahoma
Big 12,TCU
Big 12,West Virginia
Big 12,Oklahoma State
Big East,Villanova
Big East,Marquette
Big East,St John's
Big East,Xavier
Big East,Creighton
Big East,Seton Hall
Big East,Georgetown
Big East,Butler
Big East,DePaul
Big East,Providence
Big Sky,Northern Colorado
Big Sky,Montana
Big Sky,Montana State
Big Sky,Weber State
Big Sky,Eastern Washington
Big Sky,Portland State
Big Sky,Southern Utah
Big Sky,Sacramento State
Big Sky,Northern Arizona
Big Sky,Idaho State
Big Sky,Idaho
Big South,Campbell
Big South,Radford
Big South,Winthrop
Big South,Gardner-Webb
Big South,Hampton
Big South,Charleston Southern
Big South,Presbyterian
Big South,High Point
Big South,Longwood
Big South,UNC Asheville
Big South,USC Upstate
Big Ten,Michigan
Big Ten,Purdue
Big Ten,Michigan State
Big Ten,Wisconsin
Big Ten,Maryland
Big Ten,Iowa
Big Ten,Minnesota
Big Ten,Ohio State
Big Ten,Indiana
Big Ten,Rutgers
Big Ten,Illinois
Big Ten,Penn State
Big Ten,Nebraska
Big Ten,Northwestern
Big West,UC Irvine
Big West,Cal State Fullerton
Big West,UC Santa Barbara
Big West,Hawaii
Big West,Long Beach State
Big West,Cal State Northridge
Big West,UC Davis
Big West,UC Riverside
Big West,Cal Poly
Colonial Athletic,Hofstra
Colonial Athletic,Northeastern
Colonial Athletic,Charleston
Colonial Athletic,William & Mary
Colonial Athletic,Delaware
Colonial Athletic,Drexel
Colonial Athletic,Elon
Colonial Athletic,James Madison
Colonial Athletic,Towson
Colonial Athletic,North Carolina-Wilmington
Conference USA,Old Dominion
Conference USA,UTSA
Conference USA,Western Kentucky
Conference USA,Southern Miss
Conference USA,Marshall
Conference USA,Florida International
Conference USA,UAB
Conference USA,Louisiana Tech
Conference USA,Florida Atlantic
Conference USA,Rice
Conference USA,North Texas
Conference USA,Middle Tennessee
Conference USA,Charlotte
Conference USA,UTEP
Horizon,Wright State
Horizon,Northern Kentucky
Horizon,Oakland
Horizon,Illinois-Chicago
Horizon,Green Bay
Horizon,IUPUI
Horizon,Youngstown State
Horizon,Detroit Mercy
Horizon,Cleveland State
Horizon,Milwaukee
Ivy League,Yale
Ivy League,Harvard
Ivy League,Princeton
Ivy League,Brown
Ivy League,Pennsylvania
Ivy League,Cornell
Ivy League,Columbia
Ivy League,Dartmouth
Metro Atlantic Athletic,Iona
Metro Atlantic Athletic,Quinnipiac
Metro Atlantic Athletic,Siena
Metro Atlantic Athletic,Rider
Metro Atlantic Athletic,Canisius
Metro Atlantic Athletic,Monmouth
Metro Atlantic Athletic,Manhattan
Metro Atlantic Athletic,Marist
Metro Atlantic Athletic,Niagara
Metro Atlantic Athletic,Fairfield
Metro Atlantic Athletic,St Peter's
Mid-American,Buffalo
Mid-American,Toledo
Mid-American,Bowling Green
Mid-American,Kent State
Mid-American,Central Michigan
Mid-American,Eastern Michigan
Mid-American,Northern Illinois
Mid-American,Akron
Mid-American,Miami (OH)
Mid-American,Ohio
Mid-American,Ball State
Mid-American,Western Michigan
Mid-Eastern,Norfolk State
Mid-Eastern,North Carolina A&T
Mid-Eastern,North Carolina Central
Mid-Eastern,Howard
Mid-Eastern,Florida A&M
Mid-Eastern,Bethune-Cookman
Mid-Eastern,Savannah State
Mid-Eastern,Coppin State
Mid-Eastern,South Carolina State
Mid-Eastern,Maryland-Eastern Shore
Mid-Eastern,Morgan State
Mid-Eastern,Delaware State
Missouri Valley,Drake
Missouri Valley,Loyola (IL)
Missouri Valley,Missouri State
Missouri Valley,Southern Illinois
Missouri Valley,Illinois State
Missouri Valley,Northern Iowa
Missouri Valley,Bradley
Missouri Valley,Indiana State
Missouri Valley,Valparaiso
Missouri Valley,Evansville
Mountain West,Utah State
Mountain West,Nevada
Mountain West,Fresno State
Mountain West,San Diego State
Mountain West,UNLV
Mountain West,Air Force
Mountain West,New Mexico
Mountain West,Colorado State
Mountain West,Boise State
Mountain West,Wyoming
Mountain West,San Jose State
Northeast,Fairleigh Dickinson
Northeast,St Francis (PA)
Northeast,Robert Morris
Northeast,Sacred Heart
Northeast,LIU Brooklyn
Northeast,St Francis (BKN)
Northeast,Wagner
Northeast,Bryant University
Northeast,Mount St Mary's
Northeast,Central Connecticut State
Ohio Valley,Murray State
Ohio Valley,Belmont
Ohio Valley,Jacksonville State
Ohio Valley,Austin Peay
Ohio Valley,Morehead State
Ohio Valley,Eastern Illinois
Ohio Valley,Tennessee-Martin
Ohio Valley,SIU-Edwardsville
Ohio Valley,Eastern Kentucky
Ohio Valley,Tennessee State
Ohio Valley,Southeast Missouri State
Ohio Valley,Tennessee Tech
Pac-12,Washington
Pac-12,Arizona State
Pac-12,Utah
Pac-12,Colorado
Pac-12,Oregon State
Pac-12,UCLA
Pac-12,Oregon
Pac-12,USC
Pac-12,Arizona
Pac-12,Stanford
Pac-12,Washington State
Pac-12,California
Patriot League,Bucknell
Patriot League,Colgate
Patriot League,Lehigh
Patriot League,American University
Patriot League,Navy
Patriot League,Army
Patriot League,Lafayette
Patriot League,Loyola (MD)
Patriot League,Boston University
Patriot League,Holy Cross
Southeastern,LSU
Southeastern,Tennessee
Southeastern,Kentucky
Southeastern,South Carolina
Southeastern,Auburn
Southeastern,Florida
Southeastern,Ole Miss
Southeastern,Mississippi State
Southeastern,Alabama
Southeastern,Arkansas
Southeastern,Texas A&M
Southeastern,Missouri
Southeastern,Georgia
Southeastern,Vanderbilt
Southern,Wofford
Southern,UNC Greensboro
Southern,Furman
Southern,East Tennessee State
Southern,Chattanooga
Southern,Samford
Southern,Mercer
Southern,Virginia Military
Southern,Western Carolina
Southern,Citadel
Southland,Sam Houston State
Southland,Abilene Christian
Southland,Southeastern Louisiana
Southland,New Orleans
Southland,Lamar
Southland,Houston Baptist
Southland,Texas A&M-CC
Southland,Stephen F Austin
Southland,Central Arkansas
Southland,Northwestern State
Southland,Nicholls State
Southland,McNeese State
Southland,Incarnate Word
Southwestern Athletic,Prairie View A&M
Southwestern Athletic,Texas Southern
Southwestern Athletic,Alabama State
Southwestern Athletic,Jackson State
Southwestern Athletic,Grambling State
Southwestern Athletic,Arkansas-Pine Bluff
Southwestern Athletic,Alcorn State
Southwestern Athletic,Southern University
Southwestern Athletic,Alabama A&M
Southwestern Athletic,Mississippi Valley State
Summit League,South Dakota State
Summit League,Nebraska-Omaha
Summit League,North Dakota State
Summit League,Purdue Fort Wayne
Summit League,Oral Roberts
Summit League,South Dakota
Summit League,North Dakota
Summit League,Western Illinois
Summit League,Denver
Sun Belt,Texas State
Sun Belt,Georgia Southern
Sun Belt,Georgia State
Sun Belt,Texas-Arlington
Sun Belt,Coastal Carolina
Sun Belt,Louisiana-Lafayette
Sun Belt,Louisiana-Monroe
Sun Belt,South Alabama
Sun Belt,Arkansas State
Sun Belt,Appalachian State
Sun Belt,Arkansas-Little Rock
Sun Belt,Troy
West Coast,Gonzaga
West Coast,Saint Mary's
West Coast,BYU
West Coast,San Francisco
West Coast,Loyola Marymount
West Coast,Santa Clara
West Coast,San Diego
West Coast,Pepperdine
West Coast,Pacific
West Coast,Portland
Western Athletic,New Mexico State
Western Athletic,Utah Valley
Western Athletic,Grand Canyon
Western Athletic,Texas Rio Grande Valley
Western Athletic,California Baptist
Western Athletic,Cal State Bakersfield
Western Athletic,Seattle
Western Athletic,UMKC
Western Athletic,Chicago State